time_step,entropy,complexity
512,0.80949106,0.24887556
513,0.81187165,0.24387806
514,0.79815115,0.26186907
515,0.84412676,0.25687156
516,0.81028652,0.25687156
517,0.82880567,0.25787106
518,0.81735927,0.26486757
519,0.83620280,0.26286857
520,0.82122189,0.25787106
521,0.83252742,0.26286857
522,0.82122189,0.26786607
523,0.83547142,0.26386807
524,0.84270250,0.25787106
525,0.80628995,0.27086457
526,0.86658787,0.26086957
527,0.81344910,0.25687156
528,0.84765558,0.24987506
529,0.81580093,0.25887056
530,0.83029995,0.26686657
531,0.84624949,0.25287356
532,0.82427794,0.25987006
533,0.82045315,0.28685657
534,0.86528170,0.28385807
535,0.84127095,0.26686657
536,0.83766003,0.25887056
537,0.83178679,0.26386807
538,0.83400312,0.28185907
539,0.85526008,0.27786107
540,0.85661939,0.26486757
541,0.81187165,0.28385807
542,0.86330925,0.27686157
543,0.84765558,0.26086957
544,0.82427794,0.26286857
545,0.84055243,0.25787106
546,0.82351676,0.26286857
547,0.84905442,0.26286857
548,0.83910990,0.27186407
549,0.84412676,0.28585707
550,0.86593567,0.27986007
551,0.85661939,0.27186407
552,0.84835591,0.26886557
553,0.83910990,0.27586207
554,0.84695344,0.28485757
555,0.87301365,0.27586207
556,0.84835591,0.26986507
557,0.85526008,0.27986007
558,0.86198546,0.27886057
559,0.85864499,0.27386307
560,0.84975114,0.27586207
561,0.85661939,0.28185907
562,0.84127095,0.29385307
563,0.87616125,0.29485257
564,0.86528170,0.29085457
565,0.84624949,0.30284858
566,0.87046429,0.29685157
567,0.87174246,0.29585207
568,0.85797157,0.29085457
569,0.85729637,0.27886057
570,0.85044605,0.29885057
571,0.86396850,0.30384808
572,0.88474515,0.28685657
573,0.84905442,0.29285357
574,0.87427789,0.28885557
575,0.86788702,0.27686157
576,0.86788702,0.27086457
577,0.85044605,0.27286357
578,0.85864499,0.29585207
579,0.87110425,0.30184908
580,0.87616125,0.29885057
581,0.86528170,0.30084958
582,0.87678557,0.30284858
583,0.88049529,0.28785607
584,0.86593567,0.28685657
585,0.86788702,0.29285357
586,0.86264824,0.30584708
587,0.88832132,0.29985007
588,0.87364664,0.29885057
589,0.88171810,0.29585207
590,0.87490741,0.29285357
591,0.88049529,0.28285857
592,0.87174246,0.29185407
593,0.87864818,0.29285357
594,0.87046429,0.29785107
595,0.88232694,0.29685157
596,0.87678557,0.30584708
597,0.86853396,0.32083958
598,0.90366265,0.31384308
599,0.88353946,0.30184908
600,0.88232694,0.29785107
601,0.88353946,0.30484758
602,0.87174246,0.31784108
603,0.90311617,0.32083958
604,0.89008646,0.30684658
605,0.87802904,0.31584208
606,0.90529213,0.30184908
607,0.87364664,0.30484758
608,0.89471916,0.29485257
609,0.88049529,0.28885557
610,0.87046429,0.30784608
611,0.88949978,0.31384308
612,0.89529067,0.31684158
613,0.88293406,0.33083458
614,0.91829583,0.31884058
615,0.87802904,0.31084458
616,0.89586050,0.30884558
617,0.88534544,0.31884058
618,0.90035888,0.31784108
619,0.89642866,0.30384808
620,0.89755994,0.29485257
621,0.87926561,0.31084458
622,0.91113987,0.31184408
623,0.89299455,0.30284858
624,0.90146679,0.29685157
625,0.88772954,0.29985007
626,0.88110755,0.32383808
627,0.91270021,0.31984008
628,0.89067146,0.32883558
629,0.90690674,0.32983508
630,0.90529213,0.32283858
631,0.90690674,0.31184408
632,0.89414597,0.30684658
633,0.89699513,0.31184408
634,0.88949978,0.33583208
635,0.91879477,0.33483258
636,0.90690674,0.32283858
637,0.90583199,0.32283858
